Postal Code;Borough;Neighborhood;Latitude;Longitude;Cluster Labels;1st Most Common Venue;2nd Most Common Venue;3rd Most Common Venue;4th Most Common Venue;5th Most Common Venue;6th Most Common Venue;7th Most Common Venue;8th Most Common Venue;9th Most Common Venue;10th Most Common Venue
M1P;Scarborough;Dorset Park, Wexford Heights, Scarborough Town Centre;43.7574096;-79.27330400000001;0.0;Furniture / Home Store;Indian Restaurant;Restaurant;Bakery;Fast Food Restaurant;Pet Store;Chinese Restaurant;Electronics Store;Brewery;Gym
M1R;Scarborough;Wexford, Maryvale;43.750071500000004;-79.2958491;3.0;Pizza Place;Burger Joint;Intersection;Coffee Shop;Restaurant;Korean Restaurant;Seafood Restaurant;Sandwich Place;Gas Station;Fish Market
M1S;Scarborough;Agincourt;43.7942003;-79.26202940000002;0.0;Mediterranean Restaurant;Skating Rink;Lounge;Badminton Court;Latin American Restaurant;Sushi Restaurant;Seafood Restaurant;Supermarket;Sandwich Place;Breakfast Spot
M1T;Scarborough;Clarks Corners, Tam O'Shanter, Sullivan;43.7816375;-79.3043021;3.0;Fast Food Restaurant;Pizza Place;Convenience Store;Pharmacy;Italian Restaurant;Chinese Restaurant;Sandwich Place;Seafood Restaurant;Discount Store;Shopping Mall
M1V;Scarborough;Milliken, Agincourt North, Steeles East, L'Amoreaux East;43.8152522;-79.2845772;3.0;Fast Food Restaurant;Pizza Place;Intersection;Pharmacy;Chinese Restaurant;Bubble Tea Shop;Fried Chicken Joint;Shop & Service;Shopping Plaza;BBQ Joint
M1W;Scarborough;Steeles West, L'Amoreaux West;43.799525200000005;-79.3183887;3.0;Fast Food Restaurant;Coffee Shop;Pizza Place;Pharmacy;Other Great Outdoors;Discount Store;Camera Store;Auto Garage;Sandwich Place;Burger Joint
M1X;Scarborough;Upper Rouge;43.836124700000006;-79.20563609999999;;;;;;;;;;;
M2H;North York;Hillcrest Village;43.8037622;-79.3634517;3.0;Fast Food Restaurant;Ice Cream Shop;Bakery;Bank;Sandwich Place;Chinese Restaurant;Shopping Mall;Restaurant;Pharmacy;Tennis Court
M2J;North York;Fairview, Henry Farm, Oriole;43.7785175;-79.3465557;0.0;Coffee Shop;Clothing Store;Restaurant;Fast Food Restaurant;Bank;Juice Bar;Japanese Restaurant;Cosmetics Shop;Asian Restaurant;Electronics Store
M2K;North York;Bayview Village;43.7869473;-79.385975;0.0;Bank;Japanese Restaurant;Grocery Store;Chinese Restaurant;Café;Skating Rink;Playground;Intersection;Dog Run;Doner Restaurant
M2L;North York;York Mills, Silver Hills;43.7574902;-79.37471409999999;7.0;Park;Pool;Eastern European Restaurant;Distribution Center;Dive Bar;Dog Run;Doner Restaurant;Donut Shop;Drugstore;Dry Cleaner
M2M;North York;Willowdale, Newtonbrook;43.789053;-79.40849279999999;6.0;Park;Indian Restaurant;Coffee Shop;Sushi Restaurant;Pizza Place;Bank;Sandwich Place;Trail;Dry Cleaner;Dive Bar
M2N;North York;Willowdale;43.7701199;-79.40849279999999;0.0;Pizza Place;Korean Restaurant;Coffee Shop;Sushi Restaurant;Ramen Restaurant;Japanese Restaurant;Fast Food Restaurant;Middle Eastern Restaurant;Sandwich Place;Supermarket
M2P;North York;York Mills West;43.752758299999996;-79.4000493;1.0;Park;Convenience Store;Intersection;Dumpling Restaurant;Distribution Center;Dive Bar;Dog Run;Doner Restaurant;Donut Shop;Drugstore
M2R;North York;Willowdale;43.7827364;-79.4422593;0.0;Pizza Place;Korean Restaurant;Coffee Shop;Sushi Restaurant;Ramen Restaurant;Japanese Restaurant;Fast Food Restaurant;Middle Eastern Restaurant;Sandwich Place;Supermarket
M3A;North York;Parkwoods;43.7532586;-79.3296565;6.0;Bus Stop;Park;Food & Drink Shop;Intersection;Dumpling Restaurant;Dive Bar;Dog Run;Doner Restaurant;Donut Shop;Drugstore
M3B;North York;Don Mills;43.745905799999996;-79.352188;0.0;Japanese Restaurant;Gym;Coffee Shop;Restaurant;Sandwich Place;Chinese Restaurant;Italian Restaurant;Dessert Shop;Caribbean Restaurant;Office
M3C;North York;Don Mills;43.72589970000001;-79.340923;0.0;Japanese Restaurant;Gym;Coffee Shop;Restaurant;Sandwich Place;Chinese Restaurant;Italian Restaurant;Dessert Shop;Caribbean Restaurant;Office
M3H;North York;Bathurst Manor, Wilson Heights, Downsview North;43.7543283;-79.4422593;3.0;Coffee Shop;Park;Pizza Place;Bank;Mobile Phone Shop;Bridal Shop;Supermarket;Sushi Restaurant;Shopping Mall;Fried Chicken Joint
M3J;North York;Northwood Park, York University;43.7679803;-79.48726190000001;0.0;Automotive Shop;Fast Food Restaurant;Coffee Shop;Falafel Restaurant;Vietnamese Restaurant;Furniture / Home Store;Massage Studio;Bar;Japanese Restaurant;Caribbean Restaurant
